id,Date,number of bedrooms,number of bathrooms,living area,lot area,number of floors,waterfront present,number of views,condition of the house,grade of the house,Area of the house(excluding basement),Area of the basement,Built Year,Renovation Year,Postal Code,Lattitude,Longitude,living_area_renov,lot_area_renov,Number of schools nearby,Distance from the airport,Price
6762815737,42491,3,2.25,1750,1572,2.5,0,0,3,9,1470,280,2005,0,122013,52.8798,-114.511,2410,3050,3,51,626000
6762815748,42491,4,2.5,2820,8408,2,0,0,3,9,2820,0,2014,0,122014,52.9838,-114.515,1300,8408,3,55,625000
6762815749,42491,4,3.25,2730,54014,1,0,0,3,9,1560,1170,2007,0,122015,52.7433,-114.3,2730,111274,1,70,625000
6762815986,42491,3,1.75,2360,7291,1,0,0,4,8,1360,1000,1948,0,122016,52.7574,-114.574,1860,5499,2,75,615000
6762816059,42491,4,2.5,2730,12261,2,0,0,3,9,2730,0,1991,0,122017,52.9719,-114.395,2730,10872,2,70,612500
6762816236,42491,3,2.5,3240,33151,2,0,2,3,10,3240,0,1995,0,122018,52.5556,-114.568,4050,24967,1,71,604000
6762816633,42491,3,1.75,2330,14892,1,0,0,3,8,1970,360,1980,0,122019,52.8567,-114.236,2570,14217,1,60,588500
6762817449,42491,4,2.5,3310,6500,2,0,0,3,8,3310,0,2012,0,122008,52.745,-114.06,2380,5000,2,80,555000
6762817570,42491,4,2.5,1940,10500,1,0,0,4,7,1140,800,1976,0,122005,52.913,-114.304,2200,10500,1,58,550000
6762817571,42491,3,1.75,2910,35200,1.5,0,0,3,8,2910,0,1979,0,122020,52.8047,-114.225,2590,37500,3,50,550000
6762819227,42491,4,2.5,2860,3345,2,0,0,3,8,2190,670,2004,0,122021,53.0035,-114.348,2860,3596,3,73,499950
6762819342,42491,4,1.75,1600,6380,1,0,0,3,8,1130,470,1959,0,122022,52.931,-114.496,1090,6380,3,50,495000
6762819448,42491,4,1.75,2190,125452,1,0,2,3,9,2190,0,1968,0,122023,52.5003,-114.259,3000,125017,3,64,491500
6762819463,42491,2,1,880,6380,1,0,0,3,7,880,0,1938,1994,122006,52.9224,-114.512,1340,6380,3,66,490000
6762819732,42491,4,2.5,2710,35868,2,0,0,3,9,2710,0,1989,0,122024,52.605,-114.212,2780,36224,3,71,482000
6762820114,42491,5,2.5,2210,9655,1,0,0,3,8,1460,750,1976,0,122017,52.9998,-114.412,2080,8633,3,79,470000
6762820382,42491,3,1.75,1710,7320,1,0,0,3,7,1710,0,1948,0,122014,52.9812,-114.471,2260,8839,1,72,463000
6762820510,42491,3,2.5,2680,5539,2,0,0,3,8,2680,0,2013,0,122025,52.7061,-113.924,2990,6037,2,74,459990
6762820718,42491,3,2.5,2430,88426,1,0,0,4,7,1570,860,1985,0,122025,52.7128,-113.908,1560,56827,3,78,452500
6762821047,42491,3,2.5,1270,1180,3,0,0,3,8,1270,0,2001,0,122026,52.8997,-114.582,1320,1180,3,61,445700
6762821205,42491,4,2.25,2160,8119,1,0,0,3,8,1080,1080,1966,0,122027,52.7743,-114.367,1850,9000,2,52,440000
6762821206,42491,2,1,800,4850,1,0,0,4,7,800,0,1944,0,122026,52.8939,-114.554,1150,4365,2,60,440000
6762821318,42491,3,2.5,1770,2875,2,0,0,3,8,1770,0,1990,0,122009,52.7931,-114.587,1770,3833,3,68,439950
6762821390,42491,3,2.25,1970,35100,2,0,0,4,9,1970,0,1977,0,122012,52.6935,-114.181,2340,35100,2,70,437500
6762821424,42491,3,2.5,1770,1235,3,0,0,3,8,1600,170,2007,0,122028,52.9265,-114.532,1680,1203,3,52,436110
6762821444,42491,4,1,1450,8800,1,0,0,4,7,1450,0,1954,0,122027,52.8046,-114.325,1260,8942,2,62,435000
6762821632,42491,4,1.5,1920,10000,1,0,0,4,7,1070,850,1954,0,122027,52.8025,-114.323,1450,10836,2,64,430000
6762822054,42491,3,2.25,2000,8030,1,0,0,4,8,1000,1000,1963,0,122029,52.8488,-114.304,2070,8250,1,61,420000
6762822175,42491,3,1.5,1570,6700,1,0,0,4,7,1570,0,1956,0,122030,52.8322,-114.324,1570,7300,3,78,419000
6762822578,42491,3,2.5,1930,10460,2,0,0,3,8,1930,0,1996,0,122015,52.7238,-114.351,2290,8228,1,63,407500
6762822721,42491,3,2,1960,13100,1,0,2,5,8,1650,310,1957,0,122031,52.6719,-114.53,1960,10518,3,72,403000
6762822791,42491,4,2.5,3630,42884,1.5,0,0,3,9,2300,1330,1979,0,122023,52.4917,-114.38,2830,80148,1,80,400000
6762823455,42491,3,3.25,1320,1327,2,0,0,3,8,1040,280,2008,0,122032,52.8806,-114.573,1440,1263,2,51,385000
6762823582,42491,4,1.75,1560,8700,1,0,0,4,7,1560,0,1967,0,122033,52.9574,-114.371,2080,8000,3,74,382500
6762824201,42491,4,3,3110,7231,2,0,0,3,8,3110,0,1997,0,122023,52.5579,-114.381,2820,7311,3,66,367500
6762824245,42491,3,1,1090,6435,1,0,0,4,7,1090,0,1955,0,122034,52.7634,-114.555,1340,6435,3,80,365000
6762825272,42491,3,2,1930,11947,1,0,0,4,8,1930,0,1966,0,122035,52.5972,-114.341,2200,12825,2,66,342000
6762825549,42491,2,2,1350,2560,1,0,0,3,8,1350,0,1976,0,122005,52.8644,-114.297,1790,2560,1,77,335000
6762825550,42491,3,2.25,1580,16215,1,0,0,4,7,1580,0,1978,0,122036,52.7943,-114.087,1450,16215,3,56,335000
6762826461,42491,3,1,1160,9180,1,0,0,3,7,1160,0,1968,0,122037,52.9727,-114.262,1160,10282,1,52,315000
6762826606,42491,3,1.5,1340,7912,1.5,0,0,3,7,1340,0,1955,0,122038,52.9958,-114.529,1480,7940,3,65,313000
6762826811,42491,2,1,850,6174,1,0,0,4,7,850,0,1950,0,122014,52.9652,-114.518,1100,6174,1,60,308500
6762827056,42491,3,2.5,2540,5050,2,0,0,3,7,2540,0,2006,0,122035,52.5658,-114.245,2280,5050,2,64,300000
6762827347,42491,2,2.5,1630,1368,2,0,0,3,7,1280,350,2009,0,122034,52.7789,-114.553,1590,2306,1,74,295000
6762827693,42491,3,3,1850,19966,1,0,0,4,7,1090,760,1992,0,122024,52.5793,-114.224,1410,6715,2,58,287200
6762827749,42491,4,2.5,2200,9397,2,0,0,3,8,2200,0,1987,0,122039,52.5706,-114.459,2310,9176,3,80,285000
6762827750,42491,3,2.5,2090,10834,1,0,0,4,8,1360,730,1987,0,122040,52.5837,-114.493,1750,8595,2,56,285000
6762827836,42491,3,1.75,1800,23103,1,0,0,3,7,1800,0,1968,0,122041,52.8817,-114.096,1410,18163,3,62,284000
6762828162,42491,3,1.5,1180,10277,1,0,0,3,6,1180,0,1983,0,122025,52.718,-113.977,1680,11104,3,78,275000
6762828790,42491,4,2,1480,8625,1,0,0,4,7,1480,0,1974,0,122042,52.692,-114.383,2130,8502,1,60,260000
6762828945,42491,3,1.75,1370,5858,1,0,0,3,7,1370,0,1987,0,122043,52.6115,-114.503,1400,7500,3,56,257950
6762829578,42491,3,1.5,1200,9720,1,0,0,4,7,1200,0,1965,0,122035,52.6525,-114.343,1380,10284,3,77,242500
6762829789,42491,2,1,1210,9400,1,0,0,2,6,1210,0,1949,0,122034,52.7642,-114.55,1580,6026,3,73,235000
6762815750,42492,4,2.75,2920,6605,2,0,0,3,8,2920,0,2012,0,122015,52.7209,-114.334,3030,6605,1,62,625000
6762817521,42492,2,1,900,5000,1,0,0,3,7,900,0,1944,0,122007,52.9183,-114.585,1280,5000,1,68,553000
6762823736,42492,3,2.5,1650,14054,1,0,0,4,7,1130,520,1986,0,122012,52.7121,-114.207,1940,87555,2,57,379880
6762826674,42492,3,1,1010,9945,1,0,0,4,6,1010,0,1973,0,122008,52.7624,-113.953,1390,12710,3,60,310000
6762813188,42493,3,2.5,2850,7130,2,0,0,3,10,1990,860,1980,0,122044,52.833,-114.479,2280,6459,1,52,783500
6762813282,42493,2,2.5,2680,7392,1,0,0,3,9,2680,0,2004,0,122045,52.947,-114.216,2315,7045,2,65,775000
6762815716,42493,4,2,2280,6010,1,0,0,3,7,1140,1140,1900,0,122044,52.8334,-114.479,2240,6200,1,51,628000
6762824246,42493,3,2.5,2200,7350,1,0,0,5,8,1570,630,1988,0,122046,52.6695,-114.351,2350,7557,2,53,365000
6762825730,42493,4,2.5,2530,9933,2,0,2,3,8,2010,520,1990,0,122023,52.4954,-114.406,2140,9933,2,59,331950
6762810164,42494,7,8,13540,307752,3,0,4,3,12,9410,4130,1999,0,122045,52.8975,-114.176,4850,217800,1,55,2280000
6762810615,42494,2,2.5,2220,4000,2,0,0,3,9,2220,0,2000,0,122047,52.8664,-114.47,1870,4000,3,67,1430000
6762810636,42494,5,3.5,4010,8510,2,0,1,5,9,2850,1160,1971,0,122004,52.8878,-114.476,2610,6128,1,50,1400000
6762811248,42494,4,2.5,4340,141570,2.5,0,0,3,11,4340,0,1992,0,122045,52.9105,-114.238,2720,97138,1,73,1090000
6762811411,42494,5,2.75,3190,16920,1,0,3,3,9,1690,1500,1976,0,122027,52.7941,-114.35,3100,13100,1,53,1030000
6762812053,42494,3,1,1330,77972,1,0,0,3,7,1330,0,1928,1954,122010,52.9191,-114.349,1340,17689,3,52,900000
6762812148,42494,4,4.25,4420,5750,2,0,0,3,10,3410,1010,2006,0,122012,52.7704,-114.263,4420,5750,1,57,890000
6762812149,42494,5,3.5,4490,6000,2,0,0,3,10,3200,1290,2006,0,122012,52.7696,-114.263,4530,6000,2,70,890000
6762812331,42494,4,3,3690,9892,2,0,0,3,10,3690,0,1998,0,122020,52.8237,-114.172,3430,11294,3,62,865000
6762812415,42494,4,2.75,2600,5390,1,0,0,4,8,1300,1300,1960,0,122032,52.8682,-114.587,2550,5600,2,69,855000
6762812659,42494,4,3,2170,4000,2,0,0,4,9,1610,560,1982,2011,122047,52.8496,-114.482,1670,4000,3,73,831000
6762812664,42494,4,2.5,3400,9692,2,0,0,3,9,3400,0,2007,0,122005,52.938,-114.299,3070,7375,3,58,830000
6762812761,42494,6,1.75,2920,5000,2.5,0,0,4,9,2780,140,1908,0,122044,52.8324,-114.485,2020,5000,3,68,823000
6762812961,42494,5,2.5,3180,13806,2,0,0,4,10,3180,0,1990,0,122010,52.882,-114.372,3180,13798,1,76,800866
6762812963,42494,3,2.5,3240,7857,2,0,0,3,10,3240,0,1994,0,122020,52.8157,-114.228,2970,7857,3,66,800000
6762813152,42494,3,1.75,1330,7500,1,0,0,3,8,1330,0,1961,0,122048,52.8374,-114.385,1690,7800,3,56,787000
6762813210,42494,4,2.5,2730,10281,2,0,2,3,9,2730,0,1996,0,122019,52.8527,-114.219,2750,7220,3,79,780000
6762813361,42494,3,2,2350,5700,1.5,0,0,4,8,1810,540,1939,0,122047,52.869,-114.5,2170,6000,1,77,770000
6762813551,42494,4,2.5,2120,10202,1,0,0,4,7,1620,500,1960,0,122049,52.8158,-114.36,1570,10762,2,73,755000
6762813766,42494,4,1.75,2010,3600,1.5,0,0,3,7,2010,0,1902,0,122003,52.8637,-114.561,2010,3600,2,55,740000
6762813838,42494,4,2.5,3180,21904,2,0,3,3,9,3180,0,2000,0,122015,52.745,-114.307,3715,29170,2,77,736500
6762814206,42494,4,2.5,2450,4247,2,0,0,3,8,2450,0,2013,0,122005,52.9348,-114.303,2970,4685,1,75,712198
6762814291,42494,3,2.5,2490,4343,2,0,0,3,9,2490,0,2003,0,122011,52.7793,-114.183,2130,4106,3,59,705380
6762814896,42494,3,2.5,1680,2000,3,0,0,3,9,1680,0,1909,1998,122004,52.8904,-114.48,1950,5000,3,69,670000
6762814966,42494,4,2.5,2800,5900,1,0,0,3,8,1660,1140,1963,0,122006,52.9109,-114.476,2580,5900,2,63,665000
6762815131,42494,4,1,1390,4240,1,0,0,3,7,1050,340,1924,0,122028,52.8896,-114.528,1810,4240,1,68,657100
6762815226,42494,3,1.5,2160,9000,1,0,2,4,8,1400,760,1949,0,122050,52.9541,-114.559,3010,9000,2,75,650000
6762815643,42494,4,2.5,2440,6651,2,0,0,3,9,2440,0,2014,0,122007,52.9271,-114.561,1350,7653,2,77,631625
6762815727,42494,4,2.25,1990,7712,1,0,0,3,8,1210,780,1973,0,122012,52.7988,-114.277,1720,7393,3,61,627000
6762815880,42494,3,1.75,1480,2185,2.5,0,0,3,9,1480,0,2005,0,122033,52.9245,-114.36,1480,2441,2,52,620000
6762815955,42494,3,2,1800,5000,1,0,0,4,7,1080,720,1942,0,122006,52.9038,-114.487,1800,5000,1,69,618500
6762815987,42494,4,1.75,2300,11700,1,0,0,4,9,1960,340,1977,0,122005,52.8631,-114.284,2840,12000,3,50,615000
6762816274,42494,3,1.75,1670,39639,1,0,0,4,8,1670,0,1976,1992,122020,52.8229,-114.179,2330,30492,1,77,600000
6762816275,42494,3,1.75,1880,6360,1,0,0,4,7,1040,840,1945,0,122006,52.9178,-114.476,1770,6175,2,57,600000
6762816667,42494,2,1,1770,8640,1.5,0,0,3,6,1520,250,1949,0,122007,52.9226,-114.553,1060,4804,3,77,585000
6762816779,42494,2,1,2540,7000,1,0,0,5,8,1320,1220,1942,0,122051,52.7559,-114.451,2160,6000,3,77,580000
6762817053,42494,3,2.25,2010,6000,1,0,0,3,8,1330,680,1975,0,122005,52.9212,-114.305,2080,8260,2,78,570000
6762817314,42494,3,2.5,1900,8744,2,0,0,3,8,1900,0,1987,0,122019,52.85,-114.233,2030,8744,2,58,560000
6762817450,42494,3,2.5,1940,3211,2,0,0,3,8,1940,0,2009,0,122012,52.7944,-114.283,1880,3078,3,60,555000
6762817755,42494,2,1,1140,5400,1,0,0,5,7,1140,0,1908,0,122047,52.8505,-114.484,1520,4800,1,68,549000
6762817756,42494,4,2.5,2910,6338,2,0,0,3,8,2910,0,2008,0,122015,52.7104,-114.316,2500,5877,3,54,549000
6762817929,42494,5,2.75,2740,8426,1,0,0,4,8,1370,1370,1960,0,122027,52.7863,-114.374,2020,8783,1,69,541125
6762818230,42494,2,3,1270,1175,2,0,0,3,8,1110,160,2000,0,122028,52.8934,-114.53,1290,1800,1,71,531000
6762818400,42494,5,1.75,2550,71874,1,0,0,5,7,1810,740,1960,0,122012,52.7145,-114.27,2170,51400,2,65,525888
6762818543,42494,3,1.75,1560,5520,1,0,0,4,6,780,780,1944,0,122032,52.8815,-114.589,1470,6000,3,70,524000
6762818924,42494,3,2.5,1790,2700,2,0,0,3,8,1790,0,2010,0,122012,52.794,-114.283,1890,3078,1,79,509900
6762819061,42494,4,1,2070,7519,1,0,0,3,7,1160,910,1963,0,122029,52.862,-114.309,1730,7519,2,56,501000
6762819262,42494,4,2.5,2910,6479,2,0,0,3,7,2910,0,2006,0,122008,52.7702,-114.077,2320,5178,1,50,499000
6762819312,42494,6,2.75,3200,9200,1,0,2,4,8,1600,1600,1953,0,122052,52.722,-114.554,2220,9500,2,56,497300
6762819594,42494,4,1.75,2010,9211,1,0,0,3,7,1470,540,1977,0,122033,52.9506,-114.361,1840,8500,3,62,487585
6762819620,42494,4,3,2340,7048,1,0,0,4,8,1340,1000,1979,0,122033,52.9606,-114.417,1440,8088,1,53,485000
6762819874,42494,3,2.5,3040,4535,2,0,0,3,9,3040,0,2007,0,122053,52.74,-114.375,2670,4666,2,79,478000
6762820970,42494,4,2,1480,3844,1.5,0,0,5,7,1480,0,1928,0,122038,52.9342,-114.542,1480,3844,1,73,449250
6762821445,42494,5,2,1840,9240,1,0,0,4,7,1540,300,1942,1958,122038,52.9608,-114.53,1200,5250,3,78,435000
6762822174,42494,2,2.5,1590,1426,2,0,0,3,8,1590,0,2014,0,122011,52.7741,-114.203,1590,1426,2,80,419190
6762822204,42494,3,2,1410,6030,1.5,0,0,4,7,1410,0,1930,0,122028,52.9294,-114.537,1410,6300,2,51,418000
6762822246,42494,3,2.5,1408,989,3,0,0,3,8,1408,0,2005,0,122006,52.9156,-114.505,1408,1342,1,64,416286
6762822266,42494,3,2.25,1620,998,2.5,0,0,3,8,1540,80,2010,0,122012,52.7701,-114.217,1620,1299,3,59,415000
6762822453,42494,3,2.25,1800,36704,1,0,0,4,8,1360,440,1978,0,122012,52.6988,-114.203,2730,36404,1,74,410000
6762822604,42494,3,2.25,1410,1332,3,0,0,3,8,1410,0,2005,0,122028,52.9216,-114.53,1430,1448,2,70,406100
6762822620,42494,2,3,1410,1240,2,0,0,3,8,1140,270,2006,0,122016,52.7521,-114.58,1410,1273,3,74,405000
6762822792,42494,2,1.75,2110,9519,1,0,0,2,7,2110,0,1948,0,122014,52.9804,-114.496,1480,9519,2,77,400000
6762822793,42494,2,1,840,5510,1,0,0,3,7,840,0,1955,0,122016,52.7547,-114.581,1630,5510,2,79,400000
6762823019,42494,3,2.5,2230,4000,2,0,0,3,7,2230,0,1954,0,122054,52.8101,-114.496,1310,4000,3,78,398750
6762823544,42494,5,2.5,3090,12750,1,0,0,3,8,1750,1340,1968,0,122018,52.5708,-114.525,1760,25919,2,63,384900
6762823717,42494,4,1.75,1970,9389,1,0,0,5,7,1140,830,1960,0,122038,53.0071,-114.529,1820,8135,1,72,379950
6762824223,42494,3,3,1571,10800,3,0,0,3,8,1571,0,2008,0,122022,52.9638,-114.499,1520,1497,1,62,366750
6762825311,42494,5,1,1120,9022,1.5,0,0,4,7,1120,0,1962,0,122033,52.9596,-114.43,1310,7500,3,69,340000
6762825312,42494,2,1.5,1160,1438,2,0,0,3,7,1160,0,2001,0,122054,52.8217,-114.485,1220,1740,1,72,340000
6762825869,42494,2,1,1140,5250,1.5,0,0,4,6,1140,0,1949,0,122038,52.961,-114.531,1450,5250,2,65,329950
6762825928,42494,4,2.5,2370,6500,2,0,0,3,9,2370,0,1998,0,122023,52.5628,-114.363,2590,6137,3,60,328000
6762826775,42494,4,2.75,2310,5000,2,0,0,3,7,2310,0,2006,0,122024,52.5914,-114.225,1980,5000,3,68,309950
6762826776,42494,3,2.5,1880,7838,2,0,0,3,7,1880,0,1994,0,122042,52.6739,-114.38,1810,7915,3,52,309950
6762827057,42494,3,2,1050,10072,1,0,0,3,7,1050,0,1986,0,122055,52.9641,-114.166,1130,10087,3,56,300000
6762827694,42494,3,1,1450,6000,1,0,0,4,7,1450,0,1953,0,122051,52.7538,-114.477,1170,6464,2,61,287000
6762829320,42494,3,2,1550,15040,1,0,0,4,6,1550,0,1958,0,122015,52.7173,-114.289,1510,41416,3,65,249950
6762829453,42494,3,1.75,1920,9306,1,0,0,3,7,1000,920,1984,0,122039,52.5619,-114.457,1860,8458,3,54,245000
6762829917,42494,2,1,1200,8063,1,0,0,4,6,1200,0,1958,0,122043,52.6504,-114.514,1200,7500,2,56,232000
6762830263,42494,4,1.5,1240,9600,1,0,0,3,7,1240,0,1971,0,122018,52.5506,-114.587,1240,9592,1,52,220000
6762830332,42494,4,1.5,1120,5427,1,0,0,3,6,1120,0,1969,2014,122035,52.5928,-114.277,1150,5304,3,77,219900
6762830530,42494,3,1,1340,306848,1,0,0,3,5,1340,0,1953,0,122055,52.9834,-114.102,1800,128066,1,58,210000
6762830531,42494,5,2,2050,10200,1,0,0,3,6,1430,620,1956,0,122043,52.6436,-114.523,1940,8625,1,73,210000
6762830664,42494,2,1,810,7158,1,0,0,5,6,810,0,1944,0,122056,52.7182,-114.515,1090,7158,2,75,206000
6762831089,42494,3,1.75,1490,10125,1,0,0,4,7,1490,0,1962,0,122039,52.5375,-114.474,2488,4981,1,55,184000
6762810285,42495,5,4,4510,15175,2,0,0,3,10,4510,0,1969,2002,122057,52.7609,-114.418,3510,13500,1,65,1870000
6762810310,42495,5,5,4490,10279,2,0,0,3,10,3930,560,2013,0,122048,52.8274,-114.392,2490,10279,1,68,1800000
6762810471,42495,4,3.25,3760,10920,1.5,0,0,5,9,2400,1360,1950,0,122004,52.8987,-114.454,3430,11050,3,62,1580000
6762810939,42495,4,2.25,3490,6906,2,0,0,4,10,2280,1210,1928,0,122032,52.8724,-114.597,2540,6223,1,61,1230000
6762811141,42495,4,2.75,3370,8103,1,0,3,3,9,1970,1400,1970,2014,122016,52.7532,-114.573,2120,6360,2,60,1140000
6762811335,42495,3,2.5,2200,1970,2,0,0,3,9,1610,590,2008,0,122013,52.8726,-114.517,1890,3505,3,65,1050000
6762811613,42495,3,2.5,2690,4047,3,0,0,3,10,2690,0,2014,0,122007,52.9097,-114.575,2040,5000,1,65,979000
6762811999,42495,3,3.5,3020,4082,2,0,0,3,9,2080,940,1954,2004,122032,52.881,-114.599,2060,5102,1,60,910000
6762812370,42495,4,2,3740,32417,2,0,0,3,9,3740,0,2000,0,122045,52.9028,-114.202,3180,32417,2,73,860000
6762813278,42495,4,2.5,3040,6425,2,0,0,3,8,3040,0,2008,0,122005,52.9088,-114.307,3040,7800,2,57,776000
6762813464,42495,4,2.5,3880,14550,2,0,0,3,10,3880,0,1987,0,122019,52.8678,-114.23,3240,14045,3,55,762300
6762813840,42495,4,2.5,2290,12047,2,0,0,4,9,2290,0,1988,0,122027,52.7899,-114.295,3130,15666,1,50,736000
6762813978,42495,4,2.5,3200,12369,2,0,0,3,10,3200,0,1998,0,122015,52.7573,-114.333,3770,12960,2,61,725126
6762814626,42495,4,2.5,3030,7864,2,0,0,3,9,3030,0,1999,0,122019,52.8375,-114.207,2790,7034,3,74,685000
6762814788,42495,2,1,930,36478,1,0,2,3,6,930,0,1951,0,122027,52.7999,-114.354,2800,11141,3,79,675000
6762815143,42495,4,3.5,3380,8330,2,0,0,3,8,3380,0,2000,0,122050,53.0041,-114.569,2220,8330,2,76,655500
6762815227,42495,3,1.5,1630,7475,1,0,1,3,7,1160,470,1940,0,122006,52.9025,-114.462,2320,7475,1,65,650000
6762815228,42495,5,3.5,3480,36615,2,0,0,4,8,2490,990,1983,0,122020,52.8041,-114.24,2540,35910,3,66,650000
6762816060,42495,4,2,2060,5000,1,0,0,3,7,1030,1030,1949,2013,122007,52.9292,-114.569,1280,5000,1,66,612500
6762816083,42495,4,3,2450,10117,1,0,0,5,8,1580,870,1967,0,122027,52.7994,-114.322,2530,10125,2,78,610000
6762816134,42495,4,2.5,2150,37981,2,0,0,3,9,2150,0,1985,0,122005,52.9527,-114.288,2450,37981,2,69,609000
6762816173,42495,4,2.5,2110,13850,2,0,0,3,9,2110,0,1987,0,122012,52.7797,-114.267,2520,10194,2,50,606000
6762816405,42495,4,2.25,2260,29930,2,0,0,4,8,1400,860,1977,0,122027,52.7989,-114.316,2770,29930,3,58,599000
6762816780,42495,4,3.25,3569,8327,2,0,0,3,10,3569,0,2013,0,122042,52.6895,-114.398,2550,5251,1,69,580000
6762816917,42495,3,1.75,2130,6500,1,0,2,3,8,1170,960,1954,0,122032,52.8724,-114.576,2020,5000,3,58,575000
6762817272,42495,4,3,3100,15480,2,0,0,3,8,2400,700,1996,0,122058,52.9766,-114.431,2000,42500,2,67,563000
6762817288,42495,5,2.25,3040,8111,2,0,0,3,8,3040,0,1984,0,122005,52.9457,-114.293,2020,8304,3,72,562000
6762817305,42495,3,2,2000,5500,2,0,0,3,7,2000,0,1916,1986,122016,52.7752,-114.583,1840,7000,2,62,561000
6762818108,42495,3,2.5,1850,10109,2,0,0,3,8,1850,0,1991,0,122033,52.9463,-114.419,1780,9660,3,56,535000
6762818202,42495,5,2.75,1800,3780,1.5,0,0,3,7,1400,400,1926,0,122028,52.9131,-114.533,1400,3780,1,79,533000
6762818237,42495,5,2.5,2910,5133,1,0,0,4,7,1690,1220,1964,0,122029,52.8103,-114.309,2830,10385,3,54,530000
6762818403,42495,3,2.5,2970,11985,1,0,0,3,9,1770,1200,1995,0,122019,52.8659,-114.242,2990,12049,3,70,525000
6762818591,42495,3,2.5,2460,54885,2,0,0,4,8,2460,0,1980,0,122015,52.7296,-114.336,2770,21407,1,77,520000
6762818667,42495,3,1.5,1430,8000,1,0,0,4,7,1430,0,1956,0,122030,52.8174,-114.326,1450,8000,2,78,518000
6762818718,42495,3,2.5,1790,7167,2,0,0,3,8,1790,0,1989,0,122019,52.8476,-114.235,1680,7418,3,71,515000
6762818810,42495,4,2.5,2000,5684,2,0,0,3,8,2000,0,1996,0,122058,52.9743,-114.41,2210,7066,3,72,513000
6762819071,42495,3,2.5,1480,1171,3,0,0,3,8,1480,0,2006,0,122047,52.85,-114.49,1480,1231,1,56,500000
6762819263,42495,2,1.75,1170,2400,1,0,0,4,7,740,430,1903,0,122028,52.8953,-114.523,1570,3919,1,54,499000
6762819584,42495,5,2,2020,5000,1.5,0,0,4,7,2020,0,1938,0,122007,52.9249,-114.56,1510,6600,1,57,488000
6762819621,42495,3,2,1420,4080,1.5,0,0,3,7,1420,0,1905,2013,122028,52.9172,-114.539,1420,4590,2,55,485000
6762819707,42495,2,1.75,1660,6000,1,0,0,3,7,1160,500,1942,0,122004,52.8924,-114.481,1660,4000,2,76,484000
6762819714,42495,4,2.5,2740,45732,2,0,0,3,8,2740,0,1995,0,122037,52.97,-114.238,2080,43560,2,70,483500
6762819923,42495,6,3,3470,117612,1.5,0,0,3,7,3470,0,1924,0,122058,52.9963,-114.424,2120,17100,3,65,475000
6762820190,42495,2,1,1030,4400,1,0,0,3,7,1030,0,1924,0,122007,52.911,-114.551,1400,4200,2,61,469000
6762820263,42495,3,2.25,1970,11088,1,0,0,4,8,1180,790,1967,0,122014,52.9951,-114.467,1970,10470,3,56,465000
6762820431,42495,2,2.25,1230,929,2,0,0,3,8,1020,210,2004,0,122044,52.8491,-114.491,1270,1370,2,73,460000
6762820605,42495,5,2.5,2240,7770,1,0,0,3,7,1340,900,1978,0,122033,52.9498,-114.361,1820,7770,2,52,455000
6762820766,42495,2,2,1100,3000,1.5,0,0,3,7,1100,0,1912,2005,122007,52.9097,-114.552,1390,4000,3,70,450000
